"Source:","/home/fallberg/gits/GitHub/MySensorsNode/HW/MySensorsNode.sch"
"Date:","Sat 06 Jun 2015 12:53:27 PM CEST"
"Tool:","Eeschema 0.201506042310+5708~23~ubuntu14.04.1-product"
"Generator:","/usr/share/kicad/scripts/bom-in-python/pf_bom_csv_grouped_by_value.py"
"Component Count:","45"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","Vendor part","Supplier1","Supplier1 part","Supplier1 link","Supplier2","Supplier2 part","Supplier2 link","Supplier3","Supplier3 part","Supplier3 link","Supplier4","Supplier4 part","Supplier4 link"
"ANT1, ","1","CONN_01X01","CONN_01X01","Wire_Pads:SolderWirePad_single_1-2mmDrill","","","","","","","","","","","","","","",""
"C2, C1, C3, C4, C6, ","5","10uF","C","Capacitors_SMD:C_1206_HandSoldering","Unpolarized capacitor","Vishay / Vitramon","VJ1206V106ZXQTW1BC","Mouser","77-VJ1206V106ZXQTBC","http://se.mouser.com/Search/ProductDetail.aspx?R=VJ1206V106ZXQTW1BCvirtualkey61340000virtualkey77-VJ1206V106ZXQTBC","Farnell","1759434","http://se.farnell.com/multicomp/mc1206f106z100ct/cap-mlcc-y5v-10uf-1206/dp/1759434","Elfa","65-721-38","https://www.elfa.se/elfa3~se_en/elfa/init.do?item=65-721-38","Digi-Key","399-1299-1-ND","http://www.digikey.se/short/7w1z1n"
"C5, C7, C8, ","3","0.1uF","C","Capacitors_SMD:C_1206_HandSoldering","Unpolarized capacitor","MULTICOMP","RR1220P-105-B-T5","Mouser","77-VJ1206Y104KXQPBC","http://se.mouser.com/ProductDetail/Vishay-Vitramon/VJ1206Y104KXQPW1BC/?qs=sGAEpiMZZMs0AnBnWHyRQHefeAIkSpb%2fQ4QtfI01vrc%3d","Farnell","1856619","http://se.farnell.com/multicomp/mcsh31b104k250ct/cap-mlcc-x7r-100nf-25v-1206/dp/1856619?ost=1856619","Elfa","65-724-45","https://www.elfa.se/elfa3~se_en/elfa/init.do?item=65-724-45","Digi-Key","399-1249-1-ND","http://www.digikey.se/short/7w1zrd"
"CON1, ","1","Opt. JST Connector","CONN_01X02","w_conn_jst-ph:s2b-ph-kl","","JST","S2B-PH-K-S (LF)(SN)","Electrokit Sweden AB","41012805","http://www.electrokit.com/stiftlist-ph-2pol-2-0mm-vinklad.52011","Farnell","9491902","http://se.farnell.com/jst-japan-solderless-terminals/s2b-ph-k-s-lf-sn/connector-header-tht-r-a-2mm-2way/dp/9491902","Elfa","43-019-56","https://www.elfa.se/elfa3~se_en/elfa/init.do?item=43-019-56","Digi-Key","455-1719-ND","http://www.digikey.se/short/7wd8fm"
"CON2, ","1","Opt. 2.5mm jack","JACK_2P","w_conn_misc:dc_socket","","Switchcraft","RAPC712X","Mouser","502-RAPC712X","http://www.mouser.com/ProductDetail/Switchcraft/RAPC712X/?qs=%2fha2pyFaduiv7gT0zkJoWDDALrhvBCbfGdYVfdLqIXI%3d","Farnell","1608726","http://se.farnell.com/switchcraft/rapc712x/jack-socket-dc-250v-5a/dp/1608726","Elfa","42-205-20","https://www.elfa.se/elfa3~se_en/elfa/init.do?item=42-205-20","Digi-Key","CP-037B-ND","http://www.digikey.se/short/7wd85d"
"JP1, JP2, JP3, JP4, ","4","Jumper_NO_Small","Jumper_NO_Small","Pin_Headers:Pin_Header_Straight_1x02","Jumper normally open","HARWIN","M20-9993646","Mouser","710-61300211121","http://www.mouser.com/ProductDetail/Wurth-Electronics/61300211121/?qs=sGAEpiMZZMs%252bGHln7q6pm0xQ%252bwYJLofO2aeIeJWXAx0%3d","Farnell","2356153","http://se.farnell.com/wurth-elektronik/61300211121/header-2-54mm-pin-tht-vertical/dp/2356153?ost=61300211121","Elfa","43-004-90","https://www.elfa.se/elfa3~se_en/elfa/init.do?item=43-004-90","Digi-Key","S1012EC-02-ND","http://www.digikey.se/short/7w149z"
"JP5, JP6, ","2","JUMPER3","JUMPER3","Pin_Headers:Pin_Header_Straight_1x03","","HARWIN","M20-9993646","Mouser","517-9611036804AR","http://www.mouser.com/ProductDetail/3M-Electronic-Solutions-Division/961103-6804-AR/?qs=sGAEpiMZZMs%252bGHln7q6pm53vbKor1bMJoeppOe7LBrw%3d","Farnell","1593412","http://se.farnell.com/multicomp/2211s-03g/header-1-row-vert-3way/dp/1593412","Elfa","43-004-91","https://www.elfa.se/elfa3~se_en/elfa/init.do?item=43-004-91","Digi-Key","952-2264-ND","http://www.digikey.se/short/7w1485"
"L1, L2, ","2","4.7uH","INDUCTOR","Capacitors_SMD:C_0805_HandSoldering","","TDK","MLZ2012M4R7WT","Mouser","963-CBC2012T4R7M","http://www.mouser.com/ProductDetail/Taiyo-Yuden/CBC2012T4R7M/?qs=sGAEpiMZZMsg%252by3WlYCkU5iuzh4MJmq07CcsYWeuPq4%3d","Farnell","2215656","http://se.farnell.com/tdk/mlz2012m4r7wt/inductor-shielded-4-7uh-20/dp/2215656","Elfa","10-969-35","https://www.elfa.se/elfa3~se_en/elfa/init.do?item=10-969-35","Digi-Key","587-2527-1-ND","http://www.digikey.se/short/7w1zf0"
"P1, P2, P10, P4, P3, P6, P5, ","7","CONN_01X04","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04","","HARWIN","M20-9993646","Mouser","517-929800-01-04","http://www.mouser.com/ProductDetail/3M-Electronic-Solutions-Division/929800-01-04/?qs=sGAEpiMZZMs%252bGHln7q6pm8vS1T4l2rafNJ39kGX3NRI%3d","Farnell","1593413","http://se.farnell.com/multicomp/2211s-04g/connector-header-tht-2-54mm-4way/dp/1593413","Elfa","43-004-92","https://www.elfa.se/elfa3~se_en/elfa/init.do?item=43-004-92","Digi-Key","S1012EC-04-ND","http://www.digikey.se/short/7w1mhc"
"P11, ","1","CONN_02X03","CONN_02X03","Pin_Headers:Pin_Header_Straight_2x03","","HARWIN","M20-9980345","Mouser","571-5-146252-3","http://www.mouser.com/ProductDetail/TE-Connectivity/5-146252-3/?qs=lBvKVkzO%252buW5DfDcr2GHHA%3d%3d","Farnell","1022230","http://se.farnell.com/harwin/m20-9980345/header-tht-vertical-2-54mm-6way/dp/1022230","Elfa","43-006-07","https://www.elfa.se/elfa3~se_en/elfa/init.do?item=43-006-07","Digi-Key","952-2121-ND","http://www.digikey.se/short/7w1m89"
"P7, P8, ","2","CONN_01X05","CONN_01X05","Pin_Headers:Pin_Header_Straight_1x05","","HARWIN","M20-9993646","Mouser","517-929800-01-05-RK","http://www.mouser.com/ProductDetail/3M-Electronic-Solutions-Division/929800-01-05-RK/?qs=sGAEpiMZZMs%252bGHln7q6pmyXa1OkYeByelBoGSR9NckI%3d","Farnell","1593414","http://se.farnell.com/multicomp/2211s-05g/header-tht-vertical-2-54mm-5way/dp/1593414","Elfa","43-004-93","https://www.elfa.se/elfa3~se_en/elfa/init.do?item=43-004-93","Digi-Key","S1012EC-05-ND","http://www.digikey.se/short/7w1mr8"
