Count	Reference	Value	Footprint	Datasheet	Vendor	Vendor part	Supplier1	Supplier1 part	Supplier1 link	Supplier2	Supplier2 part	Supplier2 link	Supplier3	Supplier3 part	Supplier3 link	Supplier4	Supplier4 part	Supplier4 link	Supplier5	Supplier5 part	Supplier5 link
1	ANT1	CONN_01X01	Wire_Pads:SolderWirePad_single_1-2mmDrill																		
1	BT1	2.5mm jack	mysensors_connectors:dc_socket-kcswalter	http://www.mouser.com/ds/2/393/rapc712x_cd-371318.pdf	Switchcraft	RAPC712X	AliExpress	1614043178	http://www.aliexpress.com/item/2-5mm-DC-Jack-DC-Socket-DC-Power-Jack-50pcs-lot-for-Compaq-Armada-4150-4150T/1614043178.html	Digi-Key	CP-037B-ND	http://www.digikey.se/short/7wd85d	Mouser	502-RAPC712X	http://www.mouser.com/ProductDetail/Switchcraft/RAPC712X/?qs=%2fha2pyFaduiv7gT0zkJoWDDALrhvBCbfGdYVfdLqIXI%3d	Farnell	1608726	http://se.farnell.com/switchcraft/rapc712x/jack-socket-dc-250v-5a/dp/1608726	RS	878-6724	http://se.rs-online.com/web/p/dc-power-plugs/8786724
1	BT2	JST	mysensors_connectors:s2b-ph-kl-kcswalter	http://www.farnell.com/datasheets/80564.pdf	JST	S2B-PH-K-S (LF)(SN)	AliExpress	1709786094	http://www.aliexpress.com/item/free-shipping-2-0mm-2pin-header-wire-to-board-wire-2pin-connector/1709786094.html	Farnell	9491902	http://se.farnell.com/jst-japan-solderless-terminals/s2b-ph-k-s-lf-sn/connector-header-tht-r-a-2mm-2way/dp/9491902	Digi-Key	455-1719-ND	http://www.digikey.se/short/7wd8fm	RS	820-1494	http://se.rs-online.com/web/p/pcb-headers/8201494	Elfa	43-019-56	https://www.elfa.se/elfa3~se_en/elfa/init.do?item=43-019-56
1	BT3	Generic	mysensors_connectors:TerminalBlock2.54mmx2-kcswalter	http://www.mouser.com/ds/2/418/NG_CD_282834_C1-665080.pdf	TE Connectivity	282834-2	AliExpress	1252981306	http://www.aliexpress.com/item/20pcs-2-Poles-2-Pin-2-54mm-0-1-PCB-Universal-Screw-Terminal-Block-Connector-G01/1252981306.html	Digi-Key	ED10561-ND	http://www.digikey.com/short/tzt88w	Mouser	571-282834-2	http://www.mouser.se/ProductDetail/TE-Connectivity/282834-2/?qs=sGAEpiMZZMvZTcaMAxB2AJ%2f79sE4hFAYo1Yb6cyIxXA%3d						
1	BT4	CR123	mysensors_connectors:CR123_holder	http://www.mouser.com/ds/2/215/051-743208.pdf	Keystone Electronics	1051	eBay	181790677824	http://www.ebay.com/itm/181790677824	AliExpress	724661148	http://www.aliexpress.com/item/20PCS-LOT-Plastic-Battery-Holder-Case-Box-For-CR123-CR123A-CR16340-and-CR17335-Photo-Lithium-Battery/724661148.html	Digi-Key	36-1051-ND	http://www.digikey.se/short/t4b3bp	Mouser	534-1051	http://www.mouser.se/ProductDetail/Keystone-Electronics/1051/?Keystone-Electronics%2f1051%2f&Keystone-Electronics%2f1051%2f&qs=sGAEpiMZZMvEjrTWH%2f8WZ5YOpCuoa01R			
1	BT5	24.5mm	mysensors_connectors:keystone_3009-kcswalter	http://www.mouser.com/ds/2/215/3039-285159.pdf	Keystone Electronics	3039	Digi-Key	36-3039-ND	http://www.digikey.se/short/t4bqwf	Mouser	534-3039	http://se.mouser.com/ProductDetail/Keystone-Electronics/3039/?qs=sGAEpiMZZMtT9MhkajLHrg1t4FKJFDRo6aSYuA6EkaQ%3d									
1	C1	47uF	Capacitors_Tantalum_SMD:TantalC_SizeC_EIA-6032_HandSoldering	http://www.avx.com/docs/Catalogs/tps.pdf	AVX	TPSC476K016R0350	AliExpress	32444935172	http://www.aliexpress.com/item/Free-Shipping-6032-SMD-Tantalum-Capacitor-16V-47UF-C-Type-C6032-TOL-10-5pcs-lot/32444935172.html	Digi-Key	478-1773-1-ND	http://www.digikey.se/short/t3t5v5	Mouser	581-TPSC476K016R0350	http://se.mouser.com/ProductDetail/AVX/TPSC476K016R0350/?qs=sGAEpiMZZMuEN2agSAc2pqveSFvydLQ7xWNXjpUWqVg%3d	Farnell	1754090	http://se.farnell.com/vishay-sprague/tr3c476k016c0350/cap-tant-47uf-16v-case-c/dp/1754090	RS	407-0047	http://se.rs-online.com/web/p/tantalum-capacitors/4070047
5	C2 C10 C12 C13 C14	4.7uF	Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_HandSoldering	http://www.avx.com/docs/Catalogs/tps.pdf	AVX	TPSB475K025R0900	AliExpress	32456411946	http://www.aliexpress.com/item/Free-shipping-20pcs-B-3528-4-7uF-16V-SMD-tantalum-capacitor/32456411946.html	Farnell	1432589RL	http://se.farnell.com/avx/tpsb475k025r0900/cap-tant-4-7uf-25v-case-b/dp/1432589RL	Digi-Key	478-2408-1-ND	http://www.digikey.se/short/t3tnrw	Mouser	581-TPSB475K025R0900	http://se.mouser.com/ProductDetail/AVX/TPSB475K025R0900/?qs=sGAEpiMZZMuEN2agSAc2pkIWJcW2hAciBvjiIg4pnBc%3d	RS	699-3349	http://se.rs-online.com/web/p/tantalum-capacitors/6993349
2	C3 C4	10uF	Capacitors_Tantalum_SMD:TantalC_SizeA_EIA-3216_HandSoldering	http://www.mouser.com/ds/2/40/f93-221107.pdf	AVX	F931C106MAA	Mouser	647-F931C106MAA	http://www.mouser.se/ProductDetail/AVX/F931C106MAA/?qs=sGAEpiMZZMuEN2agSAc2puC4lhRhLeolmYomTIpwaLE%3d	Farnell	2493378	http://se.farnell.com/vishay-sprague/tp3a106k016c1700as/cap-tant-aec-q200-10uf-16v-case/dp/2493378	Digi-Key	478-8237-1-ND	http://www.digikey.se/short/t4q4zv						
2	C5 C6	10uF	Capacitors_SMD:C_1206_HandSoldering	http://www.mouser.com/ds/2/427/vjw1bcbascomseries-223529.pdf	Vishay / Vitramon	VJ1206V106ZXQTW1BC	AliExpress	32308484869	http://www.aliexpress.com/item/100pcs-1206-3216-106K-10uF-16V-106-Ceramic-SMD-Capacitors-NEW-Products-and-ROHS/32308484869.html	Mouser	77-VJ1206V106ZXQTBC	http://se.mouser.com/Search/ProductDetail.aspx?R=VJ1206V106ZXQTW1BCvirtualkey61340000virtualkey77-VJ1206V106ZXQTBC	Farnell	1759434	http://se.farnell.com/multicomp/mc1206f106z100ct/cap-mlcc-y5v-10uf-1206/dp/1759434	Digi-Key	399-1299-1-ND	http://www.digikey.se/short/7w1z1n	RS	723-6616	http://se.rs-online.com/web/p/ceramic-multilayer-capacitors/7236616
