Count	Reference	Value	Footprint	Datasheet	Vendor	Vendor part	Supplier	Supplier part	Supplier link
1	ANT1	CONN_01X01	Wire_Pads:SolderWirePad_single_1-2mmDrill				Missing	Missing	Missing
1	BT1	2.5mm jack	mysensors_connectors:dc_socket-kcswalter	http://www.mouser.com/ds/2/393/rapc712x_cd-371318.pdf	Switchcraft	RAPC712X	Farnell	1608726	http://se.farnell.com/switchcraft/rapc712x/jack-socket-dc-250v-5a/dp/1608726
1	BT2	JST	mysensors_connectors:s2b-ph-kl-kcswalter	http://www.farnell.com/datasheets/80564.pdf	JST	S2B-PH-K-S (LF)(SN)	Farnell	9491902	http://se.farnell.com/jst-japan-solderless-terminals/s2b-ph-k-s-lf-sn/connector-header-tht-r-a-2mm-2way/dp/9491902
1	BT3	Generic	mysensors_connectors:TerminalBlock2.54mmx2-kcswalter	http://www.mouser.com/ds/2/418/NG_CD_282834_C1-665080.pdf	TE Connectivity	282834-2	Missing	Missing	Missing
1	BT4	CR123	mysensors_connectors:CR123_holder	http://www.mouser.com/ds/2/215/051-743208.pdf	Keystone Electronics	1051	Missing	Missing	Missing
1	BT5	24.5mm	mysensors_connectors:keystone_3009-kcswalter	http://www.mouser.com/ds/2/215/3039-285159.pdf	Keystone Electronics	3039	Missing	Missing	Missing
1	C1	47uF	Capacitors_Tantalum_SMD:TantalC_SizeC_EIA-6032_HandSoldering	http://www.avx.com/docs/Catalogs/tps.pdf	AVX	TPSC476K016R0350	Farnell	1754090	http://se.farnell.com/vishay-sprague/tr3c476k016c0350/cap-tant-47uf-16v-case-c/dp/1754090
5	C2 C10 C12 C13 C14	4.7uF	Capacitors_Tantalum_SMD:TantalC_SizeB_EIA-3528_HandSoldering	http://www.avx.com/docs/Catalogs/tps.pdf	AVX	TPSB475K025R0900	Farnell	1432589RL	http://se.farnell.com/avx/tpsb475k025r0900/cap-tant-4-7uf-25v-case-b/dp/1432589RL
2	C3 C4	10uF	Capacitors_Tantalum_SMD:TantalC_SizeA_EIA-3216_HandSoldering	http://www.mouser.com/ds/2/40/f93-221107.pdf	AVX	F931C106MAA	Farnell	2493378	http://se.farnell.com/vishay-sprague/tp3a106k016c1700as/cap-tant-aec-q200-10uf-16v-case/dp/2493378
2	C5 C6	10uF	Capacitors_SMD:C_1206_HandSoldering	http://www.mouser.com/ds/2/427/vjw1bcbascomseries-223529.pdf	Vishay / Vitramon	VJ1206V106ZXQTW1BC	Farnell	1759434	http://se.farnell.com/multicomp/mc1206f106z100ct/cap-mlcc-y5v-10uf-1206/dp/1759434
6	C7 C11 C15 C16 C17 C18	0.1uF	Capacitors_SMD:C_1206_HandSoldering	http://www.farnell.com/datasheets/1825494.pdf	MULTICOMP	MCSH31B104K250CT	Farnell	1856619	http://se.farnell.com/multicomp/mcsh31b104k250ct/cap-mlcc-x7r-100nf-25v-1206/dp/1856619
1	C8	C	Resistors_Universal:Resistor_SMD+THTuniversal_0805to1206_RM10_HandSoldering		User specific		Missing	Missing	Missing
1	C9	0.1uF	Capacitors_SMD:C_1206_HandSoldering	http://www.mouser.com/ds/2/427/vjw1bcbascomseries-223529.pdf	Vishay	VJ1206Y104KXXCW1BC	Farnell	1759312	http://se.farnell.com/multicomp/mc1206b104k250ct/cap-mlcc-x7r-25v-100nf-1206/dp/1759312
7	JP1 JP3 JP4 JP5 JP6 JP7 JP10	Jumper_NO_Small	Pin_Headers:Pin_Header_Straight_1x02	https://www1.elfa.se/data1/wwwroot/assets/datasheets/cgrid_III_90120_eng_dwg.pdf	Wurth Electronics	61300211121	Farnell	2356153	http://se.farnell.com/wurth-elektronik/61300211121/header-2-54mm-pin-tht-vertical/dp/2356153
